City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
148,boende,-0.2167,20.8667,22.48,88,100,1.43,CD,1694971858
149,lihue,21.9789,-159.3672,25.77,76,40,6.69,US,1694972100
150,cabo san lucas,22.8909,-109.9124,34.78,68,0,3.13,MX,1694971901
151,sulak,43.2734,47.5146,17.18,74,100,5.83,RU,1694972100
152,aasiaat,68.7098,-52.8699,2.4,76,80,0.62,GL,1694972101
153,belozersk,60.0326,37.7957,12.79,62,100,7.97,RU,1694971882
154,atafu village,-8.5421,-172.5159,28.27,80,22,6.72,TK,1694972101
155,al bahah,20.0129,41.4677,28.68,39,96,0.84,SA,1694972101
156,selfoss,63.9331,-20.9971,8.36,82,100,5.05,IS,1694972101
157,west island,-12.1568,96.8225,24.99,78,75,6.17,CC,1694972101
158,puerto baquerizo moreno,-0.9,-89.6,25.55,83,100,4.12,EC,1694972102
159,oriximina,-1.7656,-55.8661,38.46,28,30,3.86,BR,1694972102
160,kavieng,-2.5744,150.7967,26.59,77,20,5.16,PG,1694972102
161,malango,-2.9627,119.9001,21.61,99,100,0.8,ID,1694972102
162,chibougamau,49.9168,-74.3659,18.79,72,75,2.06,CA,1694972102
163,invercargill,-46.4,168.35,7.79,90,92,7.6,NZ,1694972103
164,ogden,41.223,-111.9738,25.97,33,0,1.54,US,1694972103
165,safi,32.1667,-8.8333,21.37,62,71,5.52,MA,1694972250
166,shangrao,28.4532,117.9686,23.43,93,31,0.91,CN,1694972011
167,hadibu,12.65,54.0333,26.3,83,42,7.2,YE,1694972014
168,constantia,44.1833,28.65,19.38,60,99,4.75,RO,1694972103
169,walvis bay,-22.9575,14.5053,15.53,67,5,4.12,NA,1694971861
170,chicoana,-25.1009,-65.5331,34.47,19,0,4.41,AR,1694972103
171,qianjiang,30.4151,112.8859,25.34,74,93,2.73,CN,1694972104
172,salinopolis,-0.6136,-47.3561,29.46,67,2,6.3,BR,1694972104
173,arhribs,36.7936,4.3116,28.87,45,39,6.37,DZ,1694972104
174,alta,69.9689,23.2717,7.59,61,40,4.12,NO,1694972104
175,byron bay,-28.65,153.6167,12.62,87,8,3.78,AU,1694972104
176,kralendijk,12.15,-68.2667,32.99,58,40,6.69,BQ,1694972104
177,harper,4.375,-7.7169,26.22,81,77,4.8,LR,1694972104
178,kapit,2.0167,112.9333,23.38,99,99,0.48,MY,1694972105
179,el bauga,18.262,33.9081,38.67,16,30,0.91,SD,1694972105
180,kuanda,56.3161,116.0806,7.44,85,50,1.51,RU,1694971863
181,sao joao da barra,-21.6403,-41.0511,29.05,81,14,8.45,BR,1694972105
182,hermanus,-34.4187,19.2345,11.56,77,2,2.37,ZA,1694971985
183,nemuro,43.3236,145.575,18.36,96,100,6.64,JP,1694971864
184,taltal,-25.4,-70.4833,19.02,69,19,4.14,CL,1694972105
185,levuka,50.1834,-105.4011,24.84,21,0,4.45,CA,1694971864
186,tara,56.8944,74.371,14.68,68,100,1.04,RU,1694971864
187,mahina,-17.5065,-149.489,25.87,78,40,4.63,PF,1694972106
188,launceston,-41.45,147.1667,9.89,93,100,5.66,AU,1694971986
189,gisborne,-38.6533,178.0042,15.47,66,55,4.06,NZ,1694972106
190,keflavik,64.0049,-22.5624,9.24,71,75,6.17,IS,1694972106
191,pokachi,61.7198,75.3683,11.72,83,81,3.74,RU,1694972106
192,boa vista,2.8197,-60.6733,33.99,49,40,4.12,BR,1694972106
193,lospalos,-8.5186,127.0025,19.11,85,34,2.14,TL,1694971865
194,dalandzadgad,43.5708,104.425,9.0,58,5,5.89,MN,1694972107
195,isokyro,63.0117,22.3333,12.65,80,37,1.65,FI,1694971866
196,kirkwall,58.9848,-2.9587,13.03,88,40,6.17,GB,1694972107
197,hasaki,35.7333,140.8333,26.27,88,13,6.96,JP,1694972107
198,malyye derbety,47.9547,44.6808,19.1,51,97,3.05,RU,1694971835
199,bengkulu,-3.8004,102.2655,22.67,96,37,2.93,ID,1694972107
200,mejit,10.2753,170.8646,28.42,81,100,8.79,MH,1694972108
201,nykobing falster,54.7691,11.8743,19.5,82,100,4.02,DK,1694971857
202,hailin,44.5833,129.4167,14.21,97,5,1.42,CN,1694971867
203,namibe,-15.1961,12.1522,18.59,91,100,4.52,AO,1694972108
204,kendari,-3.945,122.4989,21.91,90,91,0.4,ID,1694972108
205,enewetak,11.3474,162.3373,28.86,79,93,7.08,MH,1694972108
206,huarmey,-10.0681,-78.1522,19.16,87,72,5.63,PE,1694972109
207,kodiak,57.79,-152.4072,8.73,57,0,15.43,US,1694972109
208,agat village,13.3886,144.6585,27.52,95,20,2.06,GU,1694972109
209,noumea,-22.2763,166.4572,21.11,99,71,5.41,NC,1694972109
210,pombas,17.1503,-25.0201,28.88,67,23,4.46,CV,1694972109
211,polyarnyy,69.1989,33.4478,7.28,87,100,3.65,RU,1694972109
212,whitehorse,60.7161,-135.0538,10.43,63,75,5.66,CA,1694971868
213,la'ie,21.6477,-157.9253,27.98,77,1,2.24,US,1694972110
